Topic,Region,Country,Name,Year,TotPop1000,ToTArea,Incomes,Subregion,Domain,ITTO,COMIFAC,FOREUR,Montreal,UNECE,Forest,TSFor,TTFor,Forchange,ForPerc,PerCapFor,NatFor,Nfchange,OthWooLan,TSOthWooLan,TTOthWooLan,OthLan,LanTreCov,InWater,Landarea,ForExp,TSForExp,TTForExp, Afforest,NatForExp,Deforest,TSDeforest,TTDeforest,HumDef,Reforest,TSReforest,TTReforest,ArtRef,PrimFor,TSPrimFor,TTPrimFor,NatRegFor,TSNatRegFor,TTNatRegFor,IntroSpp,NatzedSpp,PlantFor,TSPlantFor,TTPlantFor,Pfchange,IntroSppPlant,Mangrove,TSMangrove,TTMangrove,PlantMan
1,EU,AND,Andorra,2010,77.907,47,H,Europe,Temp,no,no,no,no,yes,16,1,1,,34.042553,0.205373,,,0,1,1,31,,0,47,,,,,,,,,,,,,,0,1,1,,,,,,,,,,,0,3,3,0
1,EU,AND,Andorra,2015,78,47,H,Europe,Temp,no,no,no,no,yes,16,1,1,,34.042553,0.205128,,,0,1,1,31,,0,47,,,,,,,,,,,,,,0,1,1,,,,,,,,,,,0,3,3,0
1,EU,AND,Andorra,9999,,,,Europe,Temp,no,no,no,no,yes,16,1,1,,,,,,,1,1,,,,0,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,3,3,
1,NCA,ANT,Netherlands Antilles,1990,190.539,80,,Carib,Trp,no,no,no,no,no,1.18,2,2,,2.494187,0.006193,,,32.69,2,,46.13,,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1,1,0
1,NCA,ANT,Netherlands Antilles,2000,179.769,80,,Carib,Trp,no,no,no,no,no,1.18,2,2,,2.494187,0.006564,,,32.69,2,,46.13,,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1,1,0
1,NCA,ANT,Netherlands Antilles,2005,185.967,80,,Carib,Trp,no,no,no,no,no,1.18,2,2,,2.494187,0.006345,,,32.69,2,,46.13,,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1,1,0
1,NCA,ANT,Netherlands Antilles,2010,200.689,80,,Carib,Trp,no,no,no,no,no,1.18,2,2,,2.494187,0.00588,,,32.69,2,,46.13,,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1,1,0
1,NCA,ANT,Netherlands Antilles,2015,208.0688612,80,,Carib,Trp,no,no,no,no,no,1.18,2,2,,2.494187,0.005671,,,32.69,2,1,46.13,,0,80,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1,1,0
1,NCA,ANT,Netherlands Antilles,9999,,,,Carib,Trp,no,no,no,no,no,1.18,2,2,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
1,AS,ARE,United Arab Emirates,1990,1806.498,"8,360.00",H,WCAsia,Trp,no,no,no,no,no,245,1,1,,2.931955,0.135622,,,3.8,1,1,8111.2,25.6,0,"8,360.00",,1,1,,0,,1,1,,,1,1,0,0,1,1,0,1,1,0,0,245,1,1,,0,3.8,1,1,
1,AS,ARE,United Arab Emirates,2000,3026.352,"8,360.00",H,WCAsia,Trp,no,no,no,no,no,310,1,1,,3.709909,0.102434,,,4,1,1,8046,188,0,"8,360.00",,1,1,0.398,0,,1,1,,,1,1,0,0,1,1,0,1,1,0,0,310,1,1,65,0,4,1,1,
1,AS,ARE,United Arab Emirates,2005,4148.883,"8,360.00",H,WCAsia,Trp,no,no,no,no,no,312,1,1,,3.733889,0.075201,,,4.1,1,1,8043.9,195,0,"8,360.00",,1,1,0.65,0,,1,1,,,1,1,0,0,1,1,0,1,1,0,0,312,1,1,2,0,4.1,1,1,
1,AS,ARE,United Arab Emirates,2010,8441.537,"8,360.00",H,WCAsia,Trp,no,no,no,no,no,317.3,1,1,,3.797408,0.037588,,,4.3,1,1,8038.4,188,0,"8,360.00",,1,1,,,,1,1,,,1,1,0,0,1,1,0,1,1,0,0,317.3,1,1,5.3,0,4.3,1,1,
1,AS,ARE,United Arab Emirates,2015,8373.319787,"8,360.00",H,WCAsia,Trp,no,no,no,no,no,322.6,1,1,,3.86093,0.038527,,,4.5,1,1,8032.9,188,0,"8,360.00",,1,1,,,,1,1,,,1,1,,0,1,1,0,1,1,0,0,322.6,1,1,5.3,0,4.5,1,1,
1,AS,ARE,United Arab Emirates,9999,,,,WCAsia,Trp,no,no,no,no,no,322.6,1,1,,,,,,,1,1,,,,0,,1,1,,,,1,1,,,1,1,,,1,1,,1,1,,,,1,1,,,,1,1,
1,SAM,ARG,Argentina,1990,32624.874,"278,040.00",UM,SAmer,SubTrp,no,no,no,yes,no,34793,2,2,,16.367862,1.066456,34027,,61100,2,2,177776,,4371,"273,669.00",11700,2,2,11700,,,2,2,,3900,2,2,3900,1738,2,2,32289,2,2,,,766,2,2,,751,,,,
1,SAM,ARG,Argentina,2000,36903.067,"278,040.00",UM,SAmer,SubTrp,no,no,no,yes,no,31860,2,2,-2933,15.032769,0.863343,30786,-3241,61732,2,2,180077,,4371,"273,669.00",62678,2,2,51300,11.378,235,2,2,235,9060,2,2,9060,1738,2,2,29048,2,2,,,1076,2,2,310,1054,,,,
1,SAM,ARG,Argentina,2005,38647.854,"278,040.00",UM,SAmer,SubTrp,no,no,no,yes,no,30186,2,2,-1674,14.40536,0.781052,29013,-1773,64122,2,2,179361,,4371,"273,669.00",9082,2,2,9082,,336,2,2,336,1603,2,2,1603,1738,2,2,27275,2,2,,,1173,2,2,97,1149,,,,
1,SAM,ARG,Argentina,2010,40374.224,"278,040.00",UM,SAmer,SubTrp,no,no,no,yes,no,28596,2,2,-1590,13.683475,0.708274,27409,-1604,64687,2,2,180386,,4371,"273,669.00",454,2,2,454,,301,2,2,301,114,2,2,114,1738,2,2,25671,2,2,,,1187,2,2,14,1163,,,,
1,SAM,ARG,Argentina,2015,42160.22331,"278,040.00",UM,SAmer,SubTrp,no,no,no,yes,no,27112,2,2,-1484,12.954088,0.643071,25910,-1499,64376,2,2,182181,,4371,"273,669.00",,2,2,,,,2,2,,,2,2,,1738,2,2,24172,2,2,,,1202,2,2,15,1178,,,,
1,SAM,ARG,Argentina,9999,,,UM,SAmer,SubTrp,no,no,no,yes,no,27112,2,2,,,,,,,2,2,,,,0,,2,2,,,,2,2,,,2,2,,,2,2,,2,2,,,,2,2,,,,,,
1,AS,ARM,Armenia,1990,3544.695,"2,980.00",LM,WCAsia,SubTrp,no,no,no,no,yes,335,1,1,,12.054696,0.094507,321,,41,1,1,2444,,160,"2,820.00",,1,1,,,,1,1,,,1,1,,17,1,1,304,1,1,,,14,1,1,,,,1,1,
1,AS,ARM,Armenia,2000,3076.098,"2,980.00",LM,WCAsia,SubTrp,no,no,no,no,yes,333,1,1,-2,12.030347,0.108254,322,1,52,1,1,2435,,160,"2,820.00",,1,1,0.32,,,1,1,,1.7,1,1,,17,1,1,305,1,1,,,11,1,1,-3,,,1,1,
1,AS,ARM,Armenia,2005,3014.917,"2,980.00",LM,WCAsia,SubTrp,no,no,no,no,yes,332,1,1,-1,12.020275,0.110119,322,0,58,1,1,2430,,160,"2,820.00",2,1,1,1.8,,,1,1,,21.3,1,1,2,17,1,1,305,1,1,,,10,1,1,-1,,,1,1,
1,AS,ARM,Armenia,2010,2963.496,"2,980.00",LM,WCAsia,SubTrp,no,no,no,no,yes,331,1,1,-1,12.005803,0.111692,310,-12,63,1,1,2426,,160,"2,820.00",1.2,1,1,1,,,1,1,,6.8,1,1,,17,1,1,293,1,1,,,21,1,1,11,,,1,1,
1,AS,ARM,Armenia,2015,3134.223638,"2,980.00",LM,WCAsia,SubTrp,no,no,no,no,yes,332,1,1,1,12.042075,0.105927,310,0,63,1,1,2425,,160,"2,820.00",,1,1,,,,1,1,,,1,1,,17,1,1,293,1,1,,,22,1,1,1,,,1,1,
1,AS,ARM,Armenia,9999,,,LM,WCAsia,SubTrp,no,no,no,no,yes,332,1,1,,,,,,,1,1,,,,0,,1,1,,,,1,1,,,1,1,,,1,1,,1,1,,,,1,1,,,,1,1,
1,OCE,ASM,American Samoa,1990,47.044,20,UM,OCE,Trp,no,no,no,no,no,18.388,1,1,,91.94,0.390868,,,0,1,1,1.612,,0,20,,1,1,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,
1,OCE,ASM,American Samoa,2000,57.522,20,UM,OCE,Trp,no,no,no,no,no,18.05,1,1,,90.25,0.313793,,,0,1,1,1.95,,0,20,,1,1,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,
1,OCE,ASM,American Samoa,2005,59.117,20,UM,OCE,Trp,no,no,no,no,no,17.881,1,1,,89.405,0.302468,,,0,1,1,2.119,,0,20,,1,1,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,
1,OCE,ASM,American Samoa,2010,55.636,20,UM,OCE,Trp,no,no,no,no,no,17.712,1,1,,88.56,0.318355,,,0,1,1,2.288,,0,20,,1,1,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,
1,OCE,ASM,American Samoa,2015,56,20,UM,OCE,Trp,no,no,no,no,no,17.543,1,1,,87.715,0.313268,,,0,1,1,2.457,,0,20,,1,1,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,
1,OCE,ASM,American Samoa,9999,,,,OCE,Trp,no,no,no,no,no,17.543,1,1,,,,,,,1,1,,,,0,,1,1,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,
1,NCA,ATG,Antigua and Barbuda,1990,61.906,44,H,Carib,Trp,no,no,no,no,no,10.3,1,1,,36.267606,0.166381,,,15.6,1,1,18.1,,0,44,,,,,,,,,,,,,,,1,1,,1,1,,,,1,1,,,1.211,1,1,
1,NCA,ATG,Antigua and Barbuda,2000,77.648,44,H,Carib,Trp,no,no,no,no,no,10,1,1,,35.211268,0.128786,,,15.6,1,1,18.4,,0,44,,,,,,,,,,,,,,,1,1,,1,1,,,,1,1,,,0.85,1,1,
1,NCA,ATG,Antigua and Barbuda,2005,82.565,44,H,Carib,Trp,no,no,no,no,no,9.8,1,1,,34.507042,0.118694,,,15.6,1,1,18.6,,0,44,,,,,,,,,,,,,,,1,1,,1,1,,,,1,1,,,0.669,1,1,
1,NCA,ATG,Antigua and Barbuda,2010,87.233,44,H,Carib,Trp,no,no,no,no,no,9.8,1,1,,34.507042,0.112343,,,15.6,1,1,18.6,,0,44,,,,,,,,,,,,,,,1,1,,1,1,,,,1,1,,,0.669,1,1,
1,NCA,ATG,Antigua and Barbuda,2015,87.233,44,H,Carib,Trp,no,no,no,no,no,9.8,1,1,,34.507042,0.112343,,,15.6,1,1,18.6,,0,44,,,,,,,,,,,,,,,1,1,,1,1,,,,1,1,,,0.669,1,1,
1,NCA,ATG,Antigua and Barbuda,9999,,,,Carib,Trp,no,no,no,no,no,9.8,1,1,,,,,,,1,,,,,0,,,,,,,,,,,,,,,1,1,,1,1,,,,1,1,,,,1,1,
1,OCE,AUS,Australia,1990,17096.869,"774,122.00",H,OCE,SubTrp,no,no,no,yes,no,128541,2,2,,100,7.518394,,,,2,1,,,5892,"768,230.00",544,2,2,,,434,2,2,,,1,1,,,2,2,,2,2,0,,1023,3,3,,926,,2,2,0
1,OCE,AUS,Australia,2000,19259.377,"774,122.00",H,OCE,SubTrp,no,no,no,yes,no,128841,2,2,300,100,6.68978,,,,2,1,,,5892,"768,230.00",316,2,2,59,257,326,2,2,,,1,1,,,2,2,,2,2,0,,1176,3,3,153,924,1045,2,2,0
1,OCE,AUS,Australia,2005,20520.736,"774,122.00",H,OCE,SubTrp,no,no,no,yes,no,127641,2,2,-1200,100,6.220099,126013,,,2,1,,,5892,"768,230.00",164,2,2,74,90,770,2,2,,,1,1,,5233,2,2,120780,2,2,0,,1628,3,3,452,988,749,2,2,0
1,OCE,AUS,Australia,2010,22404.488,"774,122.00",H,OCE,SubTrp,no,no,no,yes,no,123211,2,2,-4430,100,5.499389,121308,-4705,,2,1,,,5892,"768,230.00",256,2,2,72,184,662,2,2,,,1,1,,5039,2,2,116269,2,2,0,,1903,3,3,275,1010,980,2,2,0
1,OCE,AUS,Australia,2015,23811.53937,"774,122.00",H,OCE,SubTrp,no,no,no,yes,no,124751,2,2,1540,24.117239,5.239098,122734,1426,250961,2,1,392518,,5892,"768,230.00",,2,2,,,,2,2,,,1,1,,5039,2,2,117695,2,2,0,,2017,3,3,114,1025,913,2,2,0
1,OCE,AUS,Australia,9999,,,,OCE,SubTrp,no,no,no,yes,no,124751,2,2,,,,,,,2,1,,,,0,,2,2,,,,2,2,,,1,1,,,2,2,,2,2,,,,3,3,,,,2,2,
1,EU,AUT,Austria,1990,7670.001,"8,387.90",H,Europe,Temp,no,no,yes,no,yes,3776,3,3,,46.470986,0.492308,2009,,118,3,3,4349.5,,144.4,"8,243.50",14.7,3,3,3.6,11.1,7,3,3,3.2,75.5,3,3,7.5,114,2,1,1895,3,3,0,0,1767,3,3,,38,0,3,3,0
1,EU,AUT,Austria,2000,8020.262,"8,387.90",H,Europe,Temp,no,no,yes,no,yes,3838,3,3,62,47.228204,0.478538,2129,120,117,3,3,4288.5,,144.4,"8,243.50",9.8,3,3,1.7,8.1,4.6,3,3,2.5,67.4,3,3,4.1,114,2,1,2015,3,3,0,0,1709,3,3,-58,38,0,3,3,0
1,EU,AUT,Austria,2005,8238.604,"8,387.90",H,Europe,Temp,no,no,yes,no,yes,3851,3,3,13,47.446559,0.467434,2151,22,127,3,3,4265.5,,144.4,"8,243.50",10.2,3,3,0.7,9.5,6,3,3,3.7,75.7,3,3,3.6,114,2,1,2037,3,3,0,0,1700,3,3,-9,39,0,3,3,0
1,EU,AUT,Austria,2010,8401.924,"8,387.90",H,Europe,Temp,no,no,yes,no,yes,3860,3,3,9,47.633739,0.459419,2164,13,140,3,3,4243.5,,144.4,"8,243.50",10.2,3,3,0.7,9.5,6,3,3,3.7,75.7,3,3,3.6,114,2,1,2050,3,3,0,0,1696,3,3,-4,39,0,3,3,0
1,EU,AUT,Austria,2015,8465.828933,"8,387.90",H,Europe,Temp,no,no,yes,no,yes,3869,3,3,9,47.821519,0.457014,2177,13,153,3,3,4221.5,,144.4,"8,243.50",,3,3,,,,3,3,,,3,3,,114,2,1,2063,3,3,0,0,1692,3,3,-4,39,0,3,3,0
1,EU,AUT,Austria,9999,,,H,Europe,Temp,no,no,yes,no,yes,3869,3,3,,,,,,,3,3,,,,0,,3,3,,,,3,3,,,3,3,,,2,1,,3,3,,,,3,3,,,,3,3,
1,AS,AZE,Azerbaijan,1990,7216.503,"8,660.00",UM,WCAsia,Temp,no,no,no,no,yes,851.8,1,1,,10.308605,0.118035,,,0,1,1,7411.2,,397,"8,263.00",,,,,,,,,,,1,1,,,,,,,,,,,,,,,0,3,3,0
1,AS,AZE,Azerbaijan,2000,8117.742,"8,660.00",UM,WCAsia,Temp,no,no,no,no,yes,871.8,1,1,,10.553841,0.107394,,,0,1,1,7388.7,,399.5,"8,260.50",,,,,,,,,,5.9,1,1,2.4,,,,,,,,,,,,,,0,3,3,0
1,AS,AZE,Azerbaijan,2005,8563.398,"8,660.00",UM,WCAsia,Temp,no,no,no,no,yes,877.2,1,1,,10.612146,0.102436,,,0,1,1,7388.8,,394,"8,266.00",,,,,,,,,,9.6,1,1,3.8,,,,,,,,,,,,,,0,3,3,0
1,AS,AZE,Azerbaijan,2010,9094.718,"8,660.00",UM,WCAsia,Temp,no,no,no,no,yes,1008.3,1,1,,12.198751,0.110867,975.3,,0,1,1,7257.3,,394.4,"8,265.60",,,,,,,,,,10.7,1,1,3.5,,,,,,,,,,,,,,0,3,3,0
1,AS,AZE,Azerbaijan,2015,9756.429725,"8,660.00",UM,WCAsia,Temp,no,no,no,no,yes,1139.4,1,1,,13.78451,0.116785,1103.4,128.1,0,1,1,7126.4,,394.2,"8,265.80",,,,,,,,,,,1,1,,,,,,,,,,,,,,,0,3,3,0
1,AS,AZE,Azerbaijan,9999,,,,WCAsia,Temp,no,no,no,no,yes,1139.4,1,1,,,,,,,1,1,,,,0,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,3,3,
1,AFR,BDI,Burundi,1990,5605.873,"2,783.00",L,WCAfr,Trp,no,yes,no,no,no,289,1,1,,11.477363,0.051553,103,,50,1,1,2229,,215,"2,568.00",,,,,,,,,,,1,,,40,1,1,63,1,1,,,186,1,1,,,0,1,1,
1,AFR,BDI,Burundi,2000,6674.286,"2,783.00",L,WCAfr,Trp,no,yes,no,no,no,198,1,1,-91,7.857143,0.029666,103,0,48,1,1,2322,,215,"2,568.00",,,,,,,,,,,1,,,40,1,1,63,1,1,,,86,1,1,-100,86,0,1,1,
1,AFR,BDI,Burundi,2005,7770.392,"2,783.00",L,WCAfr,Trp,no,yes,no,no,no,181,1,1,-17,7.165479,0.023294,103,0,42,1,1,2345,,215,"2,568.00",,,,,,,,,,,1,,,40,1,1,63,1,1,,,78,1,1,-8,78,0,1,1,
1,AFR,BDI,Burundi,2010,9232.753,"2,783.00",L,WCAfr,Trp,no,yes,no,no,no,253,1,1,72,10.63472,0.027402,140,37,189,1,1,2126,,215,"2,568.00",,,,,,,,,,5.4,1,,,40,1,1,100,1,1,,,113,1,1,35,,0,1,1,
1,AFR,BDI,Burundi,2015,9231.207338,"2,783.00",L,WCAfr,Trp,no,yes,no,no,no,276,1,1,23,11.66033,0.029899,156,16,201,1,1,2091,,215,"2,568.00",,,,,,,,,,,1,,,40,1,1,116,1,1,,,120,1,1,7,,0,1,1,
1,AFR,BDI,Burundi,9999,,,L,WCAfr,Trp,no,yes,no,no,no,276,1,1,,,,,,,1,1,,,,0,,,,,,,,,,,1,,,,1,1,,1,1,,,,1,1,,,,1,1,
1,EU,BEL,Belgium,1990,9978.241,"3,052.80",H,Europe,Temp,no,no,no,no,yes,677.4,3,3,,22.526687,0.067888,231.1,,20.7,3,3,2329.7,,25,"3,027.80",,3,3,,,,3,3,,,3,3,,0,3,3,231.1,3,3,21,21,446.3,3,3,,306,0,3,3,0
1,EU,BEL,Belgium,2000,10268.38,"3,052.80",H,Europe,Temp,no,no,no,no,yes,667.3,3,3,-10,22.238144,0.064986,259.2,28.1,27.1,3,3,2333.4,,25,"3,027.80",,3,3,,,,3,3,,,3,3,,0,3,3,259.2,3,3,22.3,22.3,407.9,3,3,-38.4,296.2,0,3,3,0
